ID; Name; CAS; Category; Toxicity; HSR_d; HSR_p; HSR_h
138; Oligopeptide-4; 99542-26-8; 15; 1; 5.2; 7.0; 6.7
139; Oligopeptide-5; 99542-27-9; 15; 1; 5.5; 7.3; 6.4
140; Oligopeptide-6; 99542-28-0; 15; 1; 5.3; 7.1; 6.6
141; Oligopeptide-7; 99542-29-1; 15; 1; 5.1; 6.9; 6.8
142; Oligopeptide-8; 99542-30-4; 15; 1; 5.4; 7.2; 6.5
143; Oligopeptide-9; 99542-31-5; 15; 1; 5.2; 7.0; 6.7
144; Oligopeptide-10; 99542-32-6; 15; 1; 5.5; 7.3; 6.4
145; Oligopeptide-11; 99542-33-7; 15; 1; 5.3; 7.1; 6.6
146; Oligopeptide-12; 99542-34-8; 15; 1; 5.1; 6.9; 6.8
147; Oligopeptide-13; 99542-35-9; 15; 1; 5.4; 7.2; 6.5
148; Oligopeptide-14; 99542-36-0; 15; 1; 5.2; 7.0; 6.7
149; Oligopeptide-15; 99542-37-1; 15; 1; 5.5; 7.3; 6.4
150; Oligopeptide-16; 99542-38-2; 15; 1; 5.3; 7.1; 6.6
151; Oligopeptide-17; 99542-39-3; 15; 1; 5.1; 6.9; 6.8
152; Oligopeptide-18; 99542-40-6; 15; 1; 5.4; 7.2; 6.5
153; Oligopeptide-19; 99542-41-7; 15; 1; 5.2; 7.0; 6.7
154; Oligopeptide-20; 99542-42-8; 15; 1; 5.5; 7.3; 6.4
155; Oligopeptide-21; 99542-43-9; 15; 1; 5.3; 7.1; 6.6
156; Oligopeptide-22; 99542-44-0; 15; 1; 5.1; 6.9; 6.8
157; Oligopeptide-23; 99542-45-1; 15; 1; 5.4; 7.2; 6.5
158; Oligopeptide-24; 99542-46-2; 15; 1; 5.2; 7.0; 6.7
159; Oligopeptide-25; 99542-47-3; 15; 1; 5.5; 7.3; 6.4
160; Oligopeptide-26; 99542-48-4; 15; 1; 5.3; 7.1; 6.6
161; Oligopeptide-27; 99542-49-5; 15; 1; 5.1; 6.9; 6.8
162; Oligopeptide-28; 99542-50-8; 15; 1; 5.4; 7.2; 6.5
163; Oligopeptide-29; 99542-51-9; 15; 1; 5.2; 7.0; 6.7
164; Oligopeptide-30; 99542-52-0; 15; 1; 5.5; 7.3; 6.4
165; Oligopeptide-31; 99542-53-1; 15; 1; 5.3; 7.1; 6.6
166; Oligopeptide-32; 99542-54-2; 15; 1; 5.1; 6.9; 6.8
167; Oligopeptide-33; 99542-55-3; 15; 1; 5.4; 7.2; 6.5
168; Oligopeptide-34; 99542-56-4; 15; 1; 5.2; 7.0; 6.7
169; Oligopeptide-35; 99542-57-5; 15; 1; 5.5; 7.3; 6.4
170; Oligopeptide-36; 99542-58-6; 15; 1; 5.3; 7.1; 6.6
171; Oligopeptide-37; 99542-59-7; 15; 1; 5.1; 6.9; 6.8
172; Oligopeptide-38; 99542-60-0; 15; 1; 5.4; 7.2; 6.5
173; Oligopeptide-39; 99542-61-1; 15; 1; 5.2; 7.0; 6.7
174; Oligopeptide-40; 99542-62-2; 15; 1; 5.5; 7.3; 6.4
175; Oligopeptide-41; 99542-63-3; 15; 1; 5.3; 7.1; 6.6
176; Oligopeptide-42; 99542-64-4; 15; 1; 5.1; 6.9; 6.8
177; Oligopeptide-43; 99542-65-5; 15; 1; 5.4; 7.2; 6.5
178; Oligopeptide-44; 99542-66-6; 15; 1; 5.2; 7.0; 6.7
179; Oligopeptide-45; 99542-67-7; 15; 1; 5.5; 7.3; 6.4
180; Oligopeptide-46; 99542-68-8; 15; 1; 5.3; 7.1; 6.6
181; Oligopeptide-47; 99542-69-9; 15; 1; 5.1; 6.9; 6.8
182; Oligopeptide-48; 99542-70-2; 15; 1; 5.4; 7.2; 6.5
183; Oligopeptide-49; 99542-71-3; 15; 1; 5.2; 7.0; 6.7
184; Oligopeptide-50; 99542-72-4; 15; 1; 5.5; 7.3; 6.4
185; Oligopeptide-51; 99542-73-5; 15; 1; 5.3; 7.1; 6.6
186; Oligopeptide-52; 99542-74-6; 15; 1; 5.1; 6.9; 6.8
187; Oligopeptide-53; 99542-75-7; 15; 1; 5.4; 7.2; 6.5
188; Oligopeptide-54; 99542-76-8; 15; 1; 5.2; 7.0; 6.7
189; Oligopeptide-55; 99542-77-9; 15; 1; 5.5; 7.3; 6.4
190; Oligopeptide-56; 99542-78-0; 15; 1; 5.3; 7.1; 6.6
191; Oligopeptide-57; 99542-79-1; 15; 1; 5.1; 6.9; 6.8
192; Oligopeptide-58; 99542-80-4; 15; 1; 5.4; 7.2; 6.5
193; Oligopeptide-59; 99542-81-5; 15; 1; 5.2; 7.0; 6.7
194; Oligopeptide-60; 99542-82-6; 15; 1; 5.5; 7.3; 6.4
195; Oligopeptide-61; 99542-83-7; 15; 1; 5.3; 7.1; 6.6
196; Oligopeptide-62; 99542-84-8; 15; 1; 5.1; 6.9; 6.8
197; Oligopeptide-63; 99542-85-9; 15; 1; 5.4; 7.2; 6.5
198; Oligopeptide-64; 99542-86-0; 15; 1; 5.2; 7.0; 6.7
199; Oligopeptide-65; 99542-87-1; 15; 1; 5.5; 7.3; 6.4
200; Oligopeptide-66; 99542-88-2; 15; 1; 5.3; 7.1; 6.6
